10/01/2004 0.1106
start_date end_date duration peak sum average median
05/01/2005 06/01/2005 1 -1.65 -1.65 -1.65 -1.65
07/01/2005 08/01/2005 1 -1.64 -1.64 -1.64 -1.64
02/01/2006 10/01/2006 8 -2.76 -7.97 -1 -0.67
11/01/2007 12/01/2007 1 -1.68 -1.68 -1.68 -1.68
08/01/2008 09/01/2008 1 -1.84 -1.84 -1.84 -1.84
01/01/2009 02/01/2009 1 -1.65 -1.65 -1.65 -1.65
10/01/2010 11/01/2010 1 -2.17 -2.17 -2.17 -2.17
01/01/2011 02/01/2011 1 -1.61 -1.61 -1.61 -1.61
10/01/2011 11/01/2011 1 -1.7 -1.7 -1.7 -1.7
07/01/2012 10/01/2012 3 -1.59 -2.15 -0.72 -0.46
03/01/2014 04/01/2014 1 -1.7 -1.7 -1.7 -1.7
03/01/2015 05/01/2015 2 -1.55 -1.67 -0.83 -0.83
06/01/2016 07/01/2016 1 -2.11 -2.11 -2.11 -2.11
11/01/2017 02/01/2018 3 -1.64 -3.25 -1.08 -1.59
04/01/2018 05/01/2018 1 -1.88 -1.88 -1.88 -1.88
02/01/2021 03/01/2021 1 -1.86 -1.86 -1.86 -1.86
04/01/2023 07/01/2023 3 -2.82 -5.55 -1.85 -1.65
