01/01/2000 0.0139
start_date end_date duration peak sum average median
12/01/2000 01/01/2001 1 -1.58 -1.58 -1.58 -1.58
03/01/2002 04/01/2002 1 -1.65 -1.65 -1.65 -1.65
11/01/2002 04/01/2003 5 -2.14 -5.92 -1.18 -1.06
02/01/2006 03/01/2006 1 -2.28 -2.28 -2.28 -2.28
01/01/2009 02/01/2009 1 -3.02 -3.02 -3.02 -3.02
10/01/2010 04/01/2011 6 -2.03 -4.88 -0.81 -0.7
07/01/2012 09/01/2012 2 -1.63 -1.97 -0.98 -0.98
08/01/2013 09/01/2013 1 -1.73 -1.73 -1.73 -1.73
03/01/2014 04/01/2014 1 -1.78 -1.78 -1.78 -1.78
05/01/2014 06/01/2014 1 -1.88 -1.88 -1.88 -1.88
09/01/2017 10/01/2017 1 -2.04 -2.04 -2.04 -2.04
12/01/2017 01/01/2018 1 -2.44 -2.44 -2.44 -2.44
04/01/2018 08/01/2018 4 -2.76 -5.67 -1.42 -1.02
08/01/2022 09/01/2022 1 -1.63 -1.63 -1.63 -1.63
04/01/2023 08/01/2023 4 -2.46 -6.44 -1.61 -1.78
