04/01/2004 3.17
spi frequency percentage rankingpercentile
-2.6 1 0.43 2.08
-2.5 1 0.43 4.17
-2.4 1 0.43 6.25
-2.3 1 0.43 8.33
-2.1 1 0.43 10.42
-2 4 1.7 12.5
-1.9 3 1.28 14.58
-1.8 4 1.7 16.67
-1.7 2 0.85 18.75
-1.6 2 0.85 20.83
-1.5 1 0.43 22.92
-1.4 1 0.43 25
-1.3 4 1.7 27.08
-1.2 4 1.7 29.17
-1.1 3 1.28 31.25
-1 7 2.98 33.33
-0.9 7 2.98 35.42
-0.8 7 2.98 37.5
-0.7 8 3.4 39.58
-0.6 6 2.55 41.67
-0.5 6 2.55 43.75
-0.4 7 2.98 45.83
-0.3 7 2.98 47.92
-0.2 6 2.55 50
-0.1 10 4.26 52.08
0 5 2.13 54.17
0.1 14 5.96 56.25
0.2 7 2.98 58.33
0.3 14 5.96 60.42
0.4 12 5.11 62.5
0.5 10 4.26 64.58
0.6 9 3.83 66.67
0.7 7 2.98 68.75
0.8 7 2.98 70.83
0.9 7 2.98 72.92
1 8 3.4 75
1.1 4 1.7 77.08
1.2 3 1.28 79.17
1.3 5 2.13 81.25
1.4 7 2.98 83.33
1.5 1 0.43 85.42
1.6 3 1.28 87.5
1.7 1 0.43 89.58
1.8 2 0.85 91.67
2.1 1 0.43 93.75
2.3 2 0.85 95.83
2.4 1 0.43 97.92
2.6 1 0.43 100
