01/01/2000 0.43
spi frequency percentage rankingpercentile
-3 1 0.35 2.04
-2.8 1 0.35 4.08
-2.5 1 0.35 6.12
-2.4 1 0.35 8.16
-2.3 1 0.35 10.2
-2.1 2 0.7 12.24
-2 2 0.7 14.29
-1.9 1 0.35 16.33
-1.8 1 0.35 18.37
-1.7 1 0.35 20.41
-1.6 6 2.1 22.45
-1.5 2 0.7 24.49
-1.4 5 1.75 26.53
-1.3 6 2.1 28.57
-1.2 2 0.7 30.61
-1.1 4 1.4 32.65
-1 5 1.75 34.69
-0.9 12 4.2 36.73
-0.8 10 3.5 38.78
-0.7 4 1.4 40.82
-0.6 12 4.2 42.86
-0.5 14 4.9 44.9
-0.4 11 3.85 46.94
-0.3 11 3.85 48.98
-0.2 16 5.59 51.02
-0.1 8 2.8 53.06
0 14 4.9 55.1
0.1 7 2.45 57.14
0.2 10 3.5 59.18
0.3 9 3.15 61.22
0.4 12 4.2 63.27
0.5 7 2.45 65.31
0.6 14 4.9 67.35
0.7 4 1.4 69.39
0.8 8 2.8 71.43
0.9 11 3.85 73.47
1 7 2.45 75.51
1.1 6 2.1 77.55
1.2 5 1.75 79.59
1.3 3 1.05 81.63
1.4 5 1.75 83.67
1.5 5 1.75 85.71
1.6 5 1.75 87.76
1.7 3 1.05 89.8
1.8 2 0.7 91.84
1.9 4 1.4 93.88
2.1 2 0.7 95.92
2.2 2 0.7 97.96
2.4 1 0.35 100
