04/01/2009 4.64
start_date end_date duration peak sum average median
10/01/2010 02/01/2011 4 -1.73 -3.49 -0.87 -0.88
10/01/2011 11/01/2011 1 -1.04 -1.04 -1.04 -1.04
05/01/2012 01/01/2013 8 -2.2 -8.06 -1.01 -0.89
06/01/2013 04/01/2014 10 -2.17 -8.89 -0.89 -1.06
07/01/2014 09/01/2014 2 -1.1 -1.98 -0.99 -0.99
09/01/2015 11/01/2015 2 -1.06 -2.1 -1.05 -1.05
02/01/2016 07/01/2016 5 -1.63 -5.18 -1.04 -1.07
10/01/2016 11/01/2016 1 -1.07 -1.07 -1.07 -1.07
02/01/2017 04/01/2017 2 -1.6 -1.87 -0.94 -0.94
09/01/2017 10/01/2017 1 -1.1 -1.1 -1.1 -1.1
11/01/2017 01/01/2018 2 -2.11 -3.77 -1.88 -1.88
04/01/2018 06/01/2018 2 -2.23 -2.84 -1.42 -1.42
09/01/2018 10/01/2018 1 -1.02 -1.02 -1.02 -1.02
12/01/2020 01/01/2021 1 -1.09 -1.09 -1.09 -1.09
02/01/2021 03/01/2021 1 -1.1 -1.1 -1.1 -1.1
08/01/2021 09/01/2021 1 -2.04 -2.04 -2.04 -2.04
04/01/2023 07/01/2023 3 -1.88 -4.04 -1.35 -1.48
