0,1,2,3
-99.0,2,0.68,2.04
-2.5,1,0.34,4.08
-2.3,1,0.34,6.12
-2.2,2,0.68,8.16
-2.1,3,1.03,10.2
-2.0,1,0.34,12.24
-1.9,3,1.03,14.29
-1.7,2,0.68,16.33
-1.6,3,1.03,18.37
-1.5,4,1.37,20.41
-1.4,4,1.37,22.45
-1.3,5,1.71,24.49
-1.2,8,2.74,26.53
-1.1,8,2.74,28.57
-1.0,8,2.74,30.61
-0.9,6,2.05,32.65
-0.8,6,2.05,34.69
-0.7,7,2.4,36.73
-0.6,13,4.45,38.78
-0.5,11,3.77,40.82
-0.4,13,4.45,42.86
-0.3,11,3.77,44.9
-0.2,17,5.82,46.94
-0.1,11,3.77,48.98
0.0,7,2.4,51.02
0.1,10,3.42,53.06
0.2,11,3.77,55.1
0.3,10,3.42,57.14
0.4,11,3.77,59.18
0.5,9,3.08,61.22
0.6,7,2.4,63.27
0.7,8,2.74,65.31
0.8,7,2.4,67.35
0.9,10,3.42,69.39
1.0,7,2.4,71.43
1.1,10,3.42,73.47
1.2,3,1.03,75.51
1.3,5,1.71,77.55
1.4,3,1.03,79.59
1.5,3,1.03,81.63
1.6,4,1.37,83.67
1.7,2,0.68,85.71
1.8,5,1.71,87.76
1.9,1,0.34,89.8
2.0,2,0.68,91.84
2.1,1,0.34,93.88
2.2,1,0.34,95.92
2.3,2,0.68,97.96
2.4,3,1.03,100.0
