0,1,2,3,4,5,6
04/01/2000,05/01/2000,1,-2.49,-2.49,-2.49,-2.49
12/01/2000,01/01/2001,1,-2.08,-2.08,-2.08,-2.08
07/01/2003,09/01/2003,2,-1.6,-1.71,-0.85,-0.85
03/01/2005,08/01/2005,5,-2.29,-7.3,-1.46,-1.7
02/01/2006,03/01/2006,1,-2.16,-2.16,-2.16,-2.16
01/01/2009,02/01/2009,1,-2.35,-2.35,-2.35,-2.35
10/01/2010,12/01/2010,2,-1.85,-2.22,-1.11,-1.11
05/01/2012,01/01/2013,8,-1.62,-5.11,-0.64,-0.38
08/01/2015,11/01/2015,3,-2.57,-4.69,-1.56,-1.12
06/01/2016,07/01/2016,1,-1.7,-1.7,-1.7,-1.7
10/01/2016,03/01/2017,5,-1.67,-3.84,-0.77,-0.39
12/01/2017,01/01/2018,1,-2.31,-2.31,-2.31,-2.31
04/01/2018,08/01/2018,4,-2.13,-4.39,-1.1,-1.03
04/01/2023,07/01/2023,3,-2.02,-5.68,-1.89,-1.84
09/01/2023,12/01/2023,3,-2.05,-3.5,-1.17,-1.15
02/01/2024,03/01/2024,1,-2.01,-2.01,-2.01,-2.01
